id	region	birth	strength	usage	utility	context
0	16	2772	0.9946	2785	-0.023	 the each other and how to make a
1	18	2615	28.6497	3000	-0.0612	 the two Star. The 3 version has
2	18	2772	1.6926	2790	-0.0324	 other and how to make a printed
3	6	2740	0.5616	2753	-0.0113	 of their to Henri of England she
4	22	2740	0.5616	2753	-0.0206	 their to Henri of England she was
5	22	2590	4.1087	3000	-0.0338	asion The, theric onabat
6	18	2698	1.8491	2710	-0.0171	 theget University School Serviceget University Law
7	18	2698	0.9166	2709	-0.0338	 University School Serviceget University Law Durb
8	18	2698	1.1491	2710	-0.0407	 School Serviceget University Law Durbin
9	18	2698	0.684	2709	-0.048	 Serviceget University Law Durbin married
10	18	2615	4.0922	2664	-0.0534	 3 version has Darth Vader the
11	18	2615	9.3214	2669	-0.0607	 version has Darth Vader the 3
12	16	2740	0.8589	2758	-0.0425	 Anne of first of their to Henri
13	16	2740	1.1415	2753	-0.0563	 of first of their to Henri of
14	18	2740	0.5616	2753	-0.052	 first of their to Henri of England
15	18	2698	0.4515	2708	-0.0552	get University Law Durbin married to
16	22	2506	0.5291	2520	-0.026	 for surprise tact212011 sen
17	22	2506	0.6233	2522	-0.0321	 surprise tact212011 senator
18	22	2596	4.5788	2647	-0.0485	amb Assembly :antise Joseare Franc
19	18	2615	8.7646	2656	-0.0579	arth Vader the 3 version hasoda
20	18	2615	2.0715	2653	-0.0453	 Vader the 3 version hasoda.
21	22	2615	1.2465	2637	-0.05	 the 3 version hasoda.aoist
22	18	2615	0.2986	2626	-0.0495	 3 version hasoda.aoist my
23	0	2928	22.2567	3000	-0.0683	.
Fetiral Inc of America
24	0	3000	1.0	0	-0.0479	
 Theirrib Wonder and Whit 2011 es
25	2	2615	7.7958	2704	-0.0606	
onsidering the two Star.
26	16	2615	6.5552	3000	-0.0457	onsidering the two Star. The
27	18	2700	0.7245	2735	-0.0275	
 of a change new substances which
28	18	2700	0.6897	2710	-0.0324	 of a change new substances which changed
29	16	2700	0.4596	2713	-0.0165	 a change new substances which changed back
30	18	2700	1.3968	2715	-0.0351	 change new substances which changed backg
31	20	2700	0.9401	2716	-0.0282	 substances which changed backgxide are
32	2	2702	0.9423	2716	-0.0311	gxide are., (), pneumonia
33	6	2782	2.8934	2805	-0.0275	rox three-four its students
34	16	2702	0.7062	2716	-0.026	 (), pneumonia
Milama American N
35	18	2702	0.6991	2713	-0.0268	), pneumonia
Milama American Nise
36	18	2702	1.1772	2716	-0.0383	 pneumonia
Milama American Nise novelist
37	18	2702	0.4654	2716	-0.0282	
Milama American Nise novelist and
38	6	2782	1.062	2801	-0.049	x three-four its students minor
39	18	2702	0.4654	2716	-0.0214	ama American Nise novelist and.ino
40	2	2796	1.2093	2850	-0.0206	right | ofence dedicated took place on
41	0	2774	3.4329	2826	-0.0314	), which the electrical part
en
42	16	2785	2.1792	2805	-0.026	itiesing characters DC animated universe franch.
43	2	2774	1.0115	2790	-0.0376	 the electrical part
enryard
44	16	2704	0.4664	2715	-0.0214	inojhani of the Stateial
45	18	2704	0.4664	2715	-0.0357	jhani of the Stateial District
46	16	2704	0.4664	2715	-0.0515	hani of the Stateial District 2003
47	2	2774	0.6625	2785	-0.0289	 electrical part
enryardinc
48	2	2774	2.5	2806	-0.0407	ical part
enryardincumbent
49	22	2704	0.4664	2715	-0.0395	ial District 2003 to 2015 did not for
50	16	2747	0.8849	2761	-0.0338	1996let, a Mét supported The
51	24	2747	0.8819	2761	-0.025	let, a Mét supported The found
52	16	2747	1.7693	2759	-0.0282	, a Mét supported The foundoy
53	30	2817	1.6728	2833	-0.0436	at aers are people would more whe
54	22	2747	0.5786	2758	-0.0129	ét supported The foundoy was sent to
55	22	2747	0.8849	2761	-0.0442	 supported The foundoy was sent to death
56	2	2705	0.9493	2716	-0.0413	lection in 2014. New down a nomination
57	18	2705	0.9542	2720	-0.0327	 in 2014. New down a nomination vice
58	18	2705	0.4824	2727	-0.0268	 2014. New down a nomination vice presidential
59	16	2705	1.5125	2735	-0.0373	. New down a nomination vice presidential in
60	16	2705	4.4929	3000	-0.0324	 New down a nomination vice presidential in.
61	30	2817	2.5302	2833	-0.0548	 aers are people would more whe farm
62	18	2705	0.7096	2716	-0.0447	 vice presidential in.
bany a
63	18	2705	0.4676	2715	-0.0407	 presidential in.
bany a rule
64	2	2753	1.52	2766	-0.0419	 was sent to deathing squ a the
65	2	2753	1.5247	2766	-0.0407	 sent to deathing squ a the.
66	0	2708	0.7266	2724	-0.0534	bany a rule char-, Colomb
67	0	2753	1.2215	2771	-0.05	 to deathing squ a the. He
68	2	2708	0.4771	2720	-0.0397	 a rule char-, Colomb Sri Lank
69	16	2753	1.8467	2772	-0.037	 deathing squ a the. He was
70	2	2708	0.4808	2723	-0.043	 char-, Colomb Sri Lanka.
71	2	2708	0.4759	2719	-0.0474	-, Colomb Sri Lanka. air
72	18	2708	0.4759	2719	-0.0295	 Colomb Sri Lanka. airiving for
73	18	2708	0.4821	2724	-0.0245	 Sri Lanka. airiving for Gar
74	22	2708	1.2119	2720	-0.0392	 Lanka. airiving for Gar Indonesia
75	22	2708	0.7216	2720	-0.0253	a. airiving for Gar Indonesia.
76	20	2708	0.7216	2720	-0.0383	. airiving for Gar Indonesia. a
77	20	2708	0.7253	2723	-0.037	 airiving for Gar Indonesia. a McD
78	20	2708	1.2319	2728	-0.0414	iving for Gar Indonesia. a McDonn
79	24	2753	3.0846	2772	-0.0304	 squ a the. He was a writer
80	2	2709	0.7277	2723	-0.0389	 Gar Indonesia. a McDonn
 Rab
81	2	2709	0.7216	2719	-0.0447	 Indonesia. a McDonn
 Rab as
82	20	2709	0.729	2724	-0.0338	ort's
ad asiers Steveind
83	26	2753	0.5978	2765	-0.0474	. He was a writer member of the
84	18	2753	1.5216	2767	-0.0413	 He was a writer member of the Filip
85	2	2753	2.7594	2767	-0.0147	 was a writer member of the Filipino
86	8	3000	1.0	0	-0.0383	 Theirrib Wonder and Whit 2011 es there
87	22	2753	0.9058	2766	-0.0395	 writer member of the Filipinopag
88	0	3000	1.0	0	-0.0268	rib Wonder and Whit 2011 es there Their
89	0	2755	0.6039	2767	-0.0447	 the Filipinopag which adv played
90	0	2755	0.9102	2766	-0.0357	 Filipinopag which adv played on
91	2	2755	2.2005	2781	-0.0389	inopag which adv played on.
92	2	2755	0.9228	2772	-0.0453	pag which adv played on.s
